headLine,tags,lastmod,loc
marcus_or_the_secret_of_sweet_opens_at_studio_theatre,['entertainment'],2011-01-03 16:19:37+00:00,https://www.washingtonpost.com/entertainment/marcus_or_the_secret_of_sweet_opens_at_studio_theatre/2011/01/03/ABp53jD_story.html
gulf_oil_spill_was_abated_by_bacteria_that_feed_on_hydrocarbons_report_says_,['national'],2011-01-03 16:46:35+00:00,https://www.washingtonpost.com/national/gulf_oil_spill_was_abated_by_bacteria_that_feed_on_hydrocarbons_report_says_/2011/01/03/ABWTHkD_story.html
three_new_novels_about_sherlock_holmes,"['entertainment', 'books']",2011-01-03 18:06:57+00:00,https://www.washingtonpost.com/entertainment/books/three_new_novels_about_sherlock_holmes/2011/01/03/ABX9HkD_story.html
religious_hospitals_restrictions_sparking_conflicts_scrutiny,['health environment science'],2011-01-03 18:38:14+00:00,https://www.washingtonpost.com/health-environment-science/religious_hospitals_restrictions_sparking_conflicts_scrutiny/2011/01/03/ABVVxmD_story.html
review_alan_ridings_and_the_show_went_on,"['entertainment', 'books']",2011-01-03 19:55:48+00:00,https://www.washingtonpost.com/entertainment/books/review_alan_ridings_and_the_show_went_on/2011/01/03/ABGs4jD_story.html
dcs_indian_chefs_share_their_chaats,"['lifestyle', 'food']",2011-01-04 01:39:04+00:00,https://www.washingtonpost.com/lifestyle/food/dcs_indian_chefs_share_their_chaats/2011/01/03/ABSiHkD_story.html
new_theory_seeks_to_explain_saturns_unique_and_constantly_changing_rings_,['national'],2011-01-04 16:02:43+00:00,https://www.washingtonpost.com/national/new_theory_seeks_to_explain_saturns_unique_and_constantly_changing_rings_/2011/01/04/ABtRHkD_story.html
going_out_guide_best_nightlife_options_in_washington,['entertainment'],2011-01-04 19:19:05+00:00,https://www.washingtonpost.com/entertainment/going_out_guide_best_nightlife_options_in_washington/2011/01/04/ABL63jD_story.html
review_dave_itzkoffs_cocaines_son_has_family_relationships_at_its_heart,"['entertainment', 'books']",2011-01-04 19:57:21+00:00,https://www.washingtonpost.com/entertainment/books/review_dave_itzkoffs_cocaines_son_has_family_relationships_at_its_heart/2011/01/04/ABvSJkD_story.html
genome_study_volunteer_describes_research_neuroscientist_probes_sex_differences,['national'],2011-01-05 17:58:54+00:00,https://www.washingtonpost.com/national/genome_study_volunteer_describes_research_neuroscientist_probes_sex_differences/2011/01/05/ABeSHkD_story.html
