headline,category,date,source
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,BUSINESS,2020-12-29 00:00:00,HuffPost
Ohio Quietly Passes A Bill That Could Bankrupt Churches Linked To Fossil Fuel Protests,POLITICS,2020-12-19 00:00:00,HuffPost
GOP Climate Denier Prevails In Critical Texas Energy Regulator Race,POLITICS,2020-11-04 00:00:00,HuffPost
Greta Thunberg Chides Amy Coney Barrett For Her Weak Stance On Climate Change,POLITICS,2020-10-15 00:00:00,HuffPost
A Trump-Tied Law Firm ‘Played Both Sides Of The Ledger’ During Oil Market Crash,POLITICS,2020-10-14 00:00:00,HuffPost
Companies Are Making Major Climate Pledges. Here’s What They Really Mean.,IMPACT,2020-10-07 00:00:00,HuffPost
Trump’s Tax Revelation Could Tarnish Image That Fueled Rise,POLITICS,2020-09-28 00:00:00,HuffPost
New York City's Hottest New Energy Fight,POLITICS,2020-08-08 00:00:00,HuffPost
Donald Trump's 'Gaslighting' Over Fox News Interview Goes Awry,POLITICS,2020-07-21 00:00:00,HuffPost
Ivanka Trump’s ‘Gaslighting’ Fourth of July Coronavirus Advice Backfires,POLITICS,2020-07-04 00:00:00,HuffPost
Is Your Grocery List Sustainable? We Asked Climate Experts How They Shop.,IMPACT,2020-07-01 00:00:00,HuffPost
Mississippi Set To Become The 13th State To Criminalize Fossil Fuel Protests,POLITICS,2020-06-16 00:00:00,HuffPost
Trump’s Occupation Of D.C. Fuels Calls For Statehood,POLITICS,2020-06-05 00:00:00,HuffPost
Louisiana Bill Would Mandate 3-Year Minimum Sentence For Trespassing On Fossil Fuel Sites,POLITICS,2020-05-30 00:00:00,HuffPost
Why The Solutions To Coronavirus And Climate Change Are The Same,IMPACT,2020-04-14 00:00:00,HuffPost
Lawmakers Pushing Big Financial Break For Oil Got $35 Million In Industry Donations,POLITICS,2020-03-24 00:00:00,HuffPost
Coronavirus Crisis Forces Greta Thunberg To Take Climate Strike Online,WORLD NEWS,2020-03-11 00:00:00,HuffPost
Ugandan Climate Activist Vanessa Nakate Addresses Being Cropped Out Of Davos Photo,WORLD NEWS,2020-01-25 00:00:00,HuffPost
"Lebanon Police Fire Tear Gas, Water Cannons At Protesters Amid Riot",POLITICS,2020-01-18 00:00:00,HuffPost
"After Indonesia's Deadly Floods, Few Hear Climate 'Wake Up Call'",WORLD NEWS,2020-01-06 00:00:00,HuffPost
Oil Prices Jump After U.S. Airstrike Kills Top Iranian Gen. Soleimani,WORLD NEWS,2020-01-03 00:00:00,HuffPost
U.S. Troops Fire Tear Gas At Protesters Outside Embassy In Baghdad,WORLD NEWS,2020-01-01 00:00:00,HuffPost
Congressional Leaders At UN Climate Summit: ‘We're Still In’,POLITICS,2019-12-02 00:00:00,HuffPost
Spain Might Be The World’s Most Important Climate Test,POLITICS,2019-12-01 00:00:00,HuffPost
Social Media Gives Young Climate Activists A Platform – It Also Brings Out The Trolls,IMPACT,2019-11-27 00:00:00,HuffPost
