headline,category,date,source,sentiment,sentiment_score
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,BUSINESS,2020-12-29 00:00:00,HuffPost,NEGATIVE,0.9835167527198792
Ohio Quietly Passes A Bill That Could Bankrupt Churches Linked To Fossil Fuel Protests,POLITICS,2020-12-19 00:00:00,HuffPost,NEGATIVE,0.7521088123321533
GOP Climate Denier Prevails In Critical Texas Energy Regulator Race,POLITICS,2020-11-04 00:00:00,HuffPost,POSITIVE,0.9539810419082642
Greta Thunberg Chides Amy Coney Barrett For Her Weak Stance On Climate Change,POLITICS,2020-10-15 00:00:00,HuffPost,NEGATIVE,0.9929855465888977
A Trump-Tied Law Firm ‘Played Both Sides Of The Ledger’ During Oil Market Crash,POLITICS,2020-10-14 00:00:00,HuffPost,POSITIVE,0.832533061504364
Companies Are Making Major Climate Pledges. Here’s What They Really Mean.,IMPACT,2020-10-07 00:00:00,HuffPost,NEGATIVE,0.972555935382843
Trump’s Tax Revelation Could Tarnish Image That Fueled Rise,POLITICS,2020-09-28 00:00:00,HuffPost,NEGATIVE,0.6467892527580261
New York City's Hottest New Energy Fight,POLITICS,2020-08-08 00:00:00,HuffPost,POSITIVE,0.9997923970222473
Donald Trump's 'Gaslighting' Over Fox News Interview Goes Awry,POLITICS,2020-07-21 00:00:00,HuffPost,NEGATIVE,0.999531626701355
Ivanka Trump’s ‘Gaslighting’ Fourth of July Coronavirus Advice Backfires,POLITICS,2020-07-04 00:00:00,HuffPost,NEGATIVE,0.999419093132019
Is Your Grocery List Sustainable? We Asked Climate Experts How They Shop.,IMPACT,2020-07-01 00:00:00,HuffPost,NEGATIVE,0.9372225999832153
Mississippi Set To Become The 13th State To Criminalize Fossil Fuel Protests,POLITICS,2020-06-16 00:00:00,HuffPost,NEGATIVE,0.8358885645866394
Trump’s Occupation Of D.C. Fuels Calls For Statehood,POLITICS,2020-06-05 00:00:00,HuffPost,POSITIVE,0.7806684970855713
Louisiana Bill Would Mandate 3-Year Minimum Sentence For Trespassing On Fossil Fuel Sites,POLITICS,2020-05-30 00:00:00,HuffPost,NEGATIVE,0.94524747133255
Why The Solutions To Coronavirus And Climate Change Are The Same,IMPACT,2020-04-14 00:00:00,HuffPost,NEGATIVE,0.9977380037307739
Lawmakers Pushing Big Financial Break For Oil Got $35 Million In Industry Donations,POLITICS,2020-03-24 00:00:00,HuffPost,NEGATIVE,0.673621416091919
Coronavirus Crisis Forces Greta Thunberg To Take Climate Strike Online,WORLD NEWS,2020-03-11 00:00:00,HuffPost,NEGATIVE,0.9891899824142456
Ugandan Climate Activist Vanessa Nakate Addresses Being Cropped Out Of Davos Photo,WORLD NEWS,2020-01-25 00:00:00,HuffPost,NEGATIVE,0.9731046557426453
"Lebanon Police Fire Tear Gas, Water Cannons At Protesters Amid Riot",POLITICS,2020-01-18 00:00:00,HuffPost,NEGATIVE,0.8547853827476501
"After Indonesia's Deadly Floods, Few Hear Climate 'Wake Up Call'",WORLD NEWS,2020-01-06 00:00:00,HuffPost,POSITIVE,0.8671330809593201
Oil Prices Jump After U.S. Airstrike Kills Top Iranian Gen. Soleimani,WORLD NEWS,2020-01-03 00:00:00,HuffPost,NEGATIVE,0.9135906100273132
U.S. Troops Fire Tear Gas At Protesters Outside Embassy In Baghdad,WORLD NEWS,2020-01-01 00:00:00,HuffPost,NEGATIVE,0.9629369378089905
Congressional Leaders At UN Climate Summit: ‘We're Still In’,POLITICS,2019-12-02 00:00:00,HuffPost,POSITIVE,0.9161874055862427
Spain Might Be The World’s Most Important Climate Test,POLITICS,2019-12-01 00:00:00,HuffPost,NEGATIVE,0.8113287091255188
