headline,category,date,sentiment_score
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,BUSINESS,12/29/2020 0:00,-0.983516753
Ohio Quietly Passes A Bill That Could Bankrupt Churches Linked To Fossil Fuel Protests,POLITICS,12/19/2020 0:00,-0.752108812
GOP Climate Denier Prevails In Critical Texas Energy Regulator Race,POLITICS,11/4/2020 0:00,0.953981042
Greta Thunberg Chides Amy Coney Barrett For Her Weak Stance On Climate Change,POLITICS,10/15/2020 0:00,-0.992985547
A Trump-Tied Law Firm ‘Played Both Sides Of The Ledger’ During Oil Market Crash,POLITICS,10/14/2020 0:00,0.832533062
Companies Are Making Major Climate Pledges. Here’s What They Really Mean.,IMPACT,10/7/2020 0:00,-0.972555935
Trump’s Tax Revelation Could Tarnish Image That Fueled Rise,POLITICS,9/28/2020 0:00,-0.646789253
New York City's Hottest New Energy Fight,POLITICS,8/8/2020 0:00,0.999792397
Donald Trump's 'Gaslighting' Over Fox News Interview Goes Awry,POLITICS,7/21/2020 0:00,-0.999531627
Ivanka Trump’s ‘Gaslighting’ Fourth of July Coronavirus Advice Backfires,POLITICS,7/4/2020 0:00,-0.999419093
Is Your Grocery List Sustainable? We Asked Climate Experts How They Shop.,IMPACT,7/1/2020 0:00,-0.9372226
Mississippi Set To Become The 13th State To Criminalize Fossil Fuel Protests,POLITICS,6/16/2020 0:00,-0.835888565
Trump’s Occupation Of D.C. Fuels Calls For Statehood,POLITICS,6/5/2020 0:00,0.780668497
Louisiana Bill Would Mandate 3-Year Minimum Sentence For Trespassing On Fossil Fuel Sites,POLITICS,5/30/2020 0:00,-0.945247471
Why The Solutions To Coronavirus And Climate Change Are The Same,IMPACT,4/14/2020 0:00,-0.997738004
Lawmakers Pushing Big Financial Break For Oil Got $35 Million In Industry Donations,POLITICS,3/24/2020 0:00,-0.673621416
Coronavirus Crisis Forces Greta Thunberg To Take Climate Strike Online,WORLD NEWS,3/11/2020 0:00,-0.989189982
Ugandan Climate Activist Vanessa Nakate Addresses Being Cropped Out Of Davos Photo,WORLD NEWS,1/25/2020 0:00,-0.973104656
"Lebanon Police Fire Tear Gas, Water Cannons At Protesters Amid Riot",POLITICS,1/18/2020 0:00,-0.854785383
"After Indonesia's Deadly Floods, Few Hear Climate 'Wake Up Call'",WORLD NEWS,1/6/2020 0:00,0.867133081
Oil Prices Jump After U.S. Airstrike Kills Top Iranian Gen. Soleimani,WORLD NEWS,1/3/2020 0:00,-0.91359061
U.S. Troops Fire Tear Gas At Protesters Outside Embassy In Baghdad,WORLD NEWS,1/1/2020 0:00,-0.962936938
Congressional Leaders At UN Climate Summit: ‘We're Still In’,POLITICS,12/2/2019 0:00,0.916187406
Spain Might Be The World’s Most Important Climate Test,POLITICS,12/1/2019 0:00,-0.811328709
Social Media Gives Young Climate Activists A Platform – It Also Brings Out The Trolls,IMPACT,11/27/2019 0:00,0.998764038
Climate Change Is Threatening Our Jobs — And Most Companies Are Doing Nothing,IMPACT,11/25/2019 0:00,-0.999728024
Italy Is Making Climate Change Lessons Compulsory In Schools,IMPACT,11/6/2019 0:00,-0.759540498
Saudi Arabia Formally Starts Long-Anticipated IPO Of State-Run Oil Giant Saudi Aramco,WORLD NEWS,11/3/2019 0:00,0.911738098
How Fossil Fuel Companies Are Killing Plastic Recycling,IMPACT,9/30/2019 0:00,-0.9983778
"From Sydney To San Francisco, Millions Are Striking For Global Climate Action",POLITICS,9/20/2019 0:00,0.999572456
Trump: U.S. 'Locked And Loaded' For Response To Attack On Saudi Oil Sites,WORLD NEWS,9/16/2019 0:00,0.91414386
Trump Approves Oil Release From Reserve After Attack On Saudi Sites,WORLD NEWS,9/15/2019 0:00,0.96106261
Drone Attacks Spark Huge Fires At Saudi Arabia Oil Facilities,WORLD NEWS,9/14/2019 0:00,-0.933337331
"No-Deal Brexit Could Lead To Shortages Of Medicine, Food And Fuel, Government Report Says",WORLD NEWS,9/12/2019 0:00,-0.998715043
"Police Fire Tear Gas, Rubber Bullets At Hong Kong Protesters",WORLD NEWS,7/29/2019 0:00,-0.975859821
"Iran Seizes Foreign Oil Tanker With Crew Of 12, State TV Says",WORLD NEWS,7/18/2019 0:00,-0.981876612
UN Chief Warns World Is ‘Not On Track’ To Meet Paris Climate Change Target,WORLD NEWS,5/12/2019 0:00,-0.998015881
Joe Biden's Rivals In Democratic Race Reject His ‘Middle Ground’ On Climate Policy,POLITICS,5/12/2019 0:00,-0.989715517
Oil Execs Chortle Over  'Unprecedented' Access To Trump Officials In Secret Recording,POLITICS,3/24/2019 0:00,-0.999164462
EPA Administrator Dismisses Climate Change As '50 To 75 Years Out',POLITICS,3/20/2019 0:00,-0.999260366
"From Climate Change To Gun Control, 8 Women Making The World A Better Place",IMPACT,3/8/2019 0:00,0.992322922
"Bernie Sanders Stakes Out Forceful Climate Stance, Leapfrogging The 2020 Field",POLITICS,12/4/2018 0:00,0.998212814
GOP Shrugs Off Bombshell Climate Report,POLITICS,11/25/2018 0:00,0.922155917
CNN Meteorologist Schools Trump On The Meaning Of The Word 'Climate',SCIENCE,11/23/2018 0:00,-0.589788198
Wins By Democratic Attorneys General Threaten To Multiply Climate Suits Against Big Oil,POLITICS,11/10/2018 0:00,-0.929796696
Elizabeth Warren Bill Would Mandate Companies Disclose Climate Risks,POLITICS,9/14/2018 0:00,-0.835698843
"200 Actors, Scientists Band Together To Demand Climate Change Action",WORLD NEWS,9/4/2018 0:00,0.996318579
Samoan Prime Minister: Leaders Who Deny Climate Change Are 'Utterly Stupid',WORLD NEWS,9/2/2018 0:00,-0.999557912
Japan Executes Last 6 Members Of Doomsday Cult Behind Subway Gas Attack,WORLD NEWS,7/26/2018 0:00,-0.943209291
North Korea Boosting Nuclear Fuel Production At Secret Sites: Report,WORLD NEWS,6/30/2018 0:00,0.971945822
How A Populist Europe In Thrall To Russia Threatens Climate Change Action,IMPACT,6/26/2018 0:00,-0.992160141
White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,POLITICS,5/24/2018 0:00,-0.999582946
Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy,POLITICS,5/22/2018 0:00,-0.997631192
Trump's NASA Chief Has Apparently Changed His Tune On Climate Change,POLITICS,5/18/2018 0:00,-0.99566406
The Battle To Save Our Dying Soil,IMPACT,5/17/2018 0:00,0.760737121
Palestinian Family Says 8-Month-Old Died From Israeli Tear Gas In Gaza Protest Crackdown (GRAPHIC),WORLD NEWS,5/15/2018 0:00,-0.99215579
Trump Administration Axes Funding For NASA System That Monitors Greenhouse Gases,POLITICS,5/11/2018 0:00,-0.839437485
EPA Hid Scott Pruitt's Dinner With Climate Denier Accused Of Child Sex Abuse,POLITICS,5/11/2018 0:00,-0.985726893
FEMA's Latest Excuse For Why It's Ignoring Climate Change: It Forgot,POLITICS,5/3/2018 0:00,-0.99915123
A Trump Plan To Nationalize Coal Plants Could Be A Surprise Gift To Climate Hawks,POLITICS,5/3/2018 0:00,0.990093291
U.S. Climate Scientists Flee For France To ‘Make Our Planet Great Again’,SCIENCE,5/3/2018 0:00,0.980064154
Protests Across Armenia Fuel Calls For Ruling Elite To Step Down,WORLD NEWS,5/2/2018 0:00,-0.936330557
The Dangerous Belief That Extreme Technology Will Fix Climate Change,IMPACT,4/27/2018 0:00,-0.986884356
Scott Pruitt Faces New Accusations Of Ethical Lapses Over EPA’s Climate Rule Repeal,POLITICS,4/26/2018 0:00,-0.998058021
Emmanuel Macron Takes Aim At Trump On Climate Change In Congressional Address,POLITICS,4/25/2018 0:00,-0.667793155
U.S. Agencies Fueled A National Increase In Anti-Muslim Incidents: Report,POLITICS,4/24/2018 0:00,0.941330254
Andrew Cuomo Faces A Big Test On Climate Change. He’s Already Failed Twice.,POLITICS,4/23/2018 0:00,-0.999023318
Michael Bloomberg Contributes $4.5 Million For Paris Climate Deal After Trump Bails,POLITICS,4/23/2018 0:00,0.952269197
Senate Confirms Climate Change Denier To Lead NASA,POLITICS,4/19/2018 0:00,0.994543314
How The Energy Industry's Wish List Became The Interior Department's To-Do List,POLITICS,4/17/2018 0:00,-0.879972756
The SEC Just Made The Case For Divesting From Fossil Fuel Companies Much Stronger,BUSINESS,4/17/2018 0:00,0.951829314
Read Live Updates On Mark Zuckerberg's Hearing With The House Energy And Commerce Committee,POLITICS,4/11/2018 0:00,0.988343298
Scott Pruitt Is Embroiled In More Than A Dozen Scandals. Most Of America Has Barely Noticed.,POLITICS,4/10/2018 0:00,-0.939729989
2013 Syrian Gas Attack Survivor: Whole World 'Should Be Ashamed',WORLD NEWS,4/9/2018 0:00,-0.99110806
Democrats Did Little To Stop A Climate-Denying Coal Lobbyist From Getting EPA’s No. 2 Spot,POLITICS,4/9/2018 0:00,-0.66769737
German Police Foil Berlin Half-Marathon Knife Attacks: Report,WORLD NEWS,4/8/2018 0:00,-0.90799588
2 Senate Democrats Vow To Confirm Climate-Denying Coal Lobbyist As EPA No. 2,POLITICS,4/7/2018 0:00,-0.975230038
EPA To Gut The Only Major Federal Rule To Cut Climate Pollution From Vehicles,POLITICS,4/2/2018 0:00,-0.994712889
"6 Months After The Vegas Shooting, We Still Don’t Know What Motivated The Killer",POLITICS,3/31/2018 0:00,-0.998400986
Report: EPA's Scott Pruitt Lived In Condo Linked to Energy Lobbyist,POLITICS,3/30/2018 0:00,-0.975875258
Rep. Keith Ellison Demands FEMA Explain Why It Cut Climate Change From Strategic Plan,POLITICS,3/29/2018 0:00,-0.992681682
Trapped Inside The Monster Energy Frat House,BUSINESS,3/29/2018 0:00,-0.983689606
"Independents Are Shifting To Climate Denial, According To The Latest Gallup Poll",POLITICS,3/28/2018 0:00,-0.996346891
Top Banks Pumped Billions More Into The Dirtiest Fossil Fuels Last Year,IMPACT,3/28/2018 0:00,-0.980840623
Leaked Memo: EPA Shows Workers How To Downplay Climate Change,POLITICS,3/28/2018 0:00,-0.99500078
Attorney Who Declined A Job On Trump's Legal Team Rips 'Turmoil' In White House,POLITICS,3/27/2018 0:00,-0.990332782
Trump Appears To Brag About Using Data Mining Firm Roiled In Scandal,POLITICS,3/22/2018 0:00,-0.973592222
Pentagon To Senate: We Can't Know If U.S. Fuel Helps Saudi Arabia Kill Civilians In Yemen,POLITICS,3/19/2018 0:00,-0.98720026
U.S. Blames Russia For Cyberattacks On Electricity Grid,POLITICS,3/16/2018 0:00,-0.995409787
FEMA Decides To Stop Taking Climate Change Into Account As It Plans For Future,POLITICS,3/16/2018 0:00,-0.999411702
Oklahoma To Become First U.S. State To Execute Death Row Inmates With Nitrogen Gas,POLITICS,3/15/2018 0:00,0.982521594
Kenya Gambles On Dirty Energy With Its First Coal Plant,IMPACT,3/15/2018 0:00,-0.993960023
An Underdog In Michigan’s Governor Race Shows Dems How To Run On Climate Change,POLITICS,3/15/2018 0:00,-0.668956101
Libertarian Candidate Embraces His Role As Spoiler In Pennsylvania Election,POLITICS,3/14/2018 0:00,0.992547333
Trump’s Pick To Replace Former Exxon CEO As Secretary Of State Is A Bigger Climate Denier,POLITICS,3/13/2018 0:00,0.951173663
Interior Officials Are Citing Coal Execs And Crank Bloggers To Defend Climate Stances,POLITICS,3/9/2018 0:00,-0.993660927
DOJ Report To Knock Trump's Favorite FBI Foil Over Leak That Helped Trump's Own Campaign,POLITICS,3/4/2018 0:00,-0.960773766
Syrians Fight For Survival Amid Assad's Poison Gas Warfare,WORLD NEWS,3/2/2018 0:00,-0.986655712
#MeToo Movement Fuels A 1970s Comeback: The ERA,POLITICS,3/1/2018 0:00,0.99908793
DCCC Advised Candidates Not To Discuss Gun Control Policy Right After Vegas Shooting,POLITICS,2/27/2018 0:00,-0.997965693
"Despite Attacking Renewables, Trump Team Says It Loves All Energy Sources",POLITICS,2/23/2018 0:00,0.997359693
Here Are The Autopsies For The Victims Of The Las Vegas Mass Shooting,POLITICS,2/15/2018 0:00,-0.986942172
"Why This California City Is Taking On Chevron, Exxon And Shell Over Climate Change",IMPACT,2/10/2018 0:00,-0.989533603
"Wall Street Turmoil Worsens As Dow Jones Plunges 1,000 Points",BUSINESS,2/8/2018 0:00,-0.999403358
Idaho Lawmakers Are Trying Again To Scrub Climate Change From Education Standards,POLITICS,2/7/2018 0:00,-0.991274178
Trump's Climate-Denying Coal Lobbyist Nominee Inches Closer To EPA’s No. 2 Job,POLITICS,2/6/2018 0:00,-0.99200964
"Democrats Lack A Bold National Climate Change Plan In The Trump Era, And It Shows",POLITICS,2/3/2018 0:00,-0.999071121
Feds Arrest Arizona Man For Selling Armor-Piercing Ammo To Las Vegas Shooter,POLITICS,2/3/2018 0:00,-0.981742322
Already Threatened Polar Bears Face Food Shortage Crisis Amid Climate Change,SCIENCE,2/2/2018 0:00,-0.991021693
First State Ban On Bump Stocks Takes Effect After Las Vegas Massacre,POLITICS,2/1/2018 0:00,-0.981749654
Democrats Ignore Climate Change In State Of The Union Rebuttal,POLITICS,1/31/2018 0:00,-0.977852821
Monster Energy Vice President Accused Of Sexual Harassment Resigns,BUSINESS,1/31/2018 0:00,-0.998579144
"Trump Touts 'Beautiful, Clean Coal' And Fails To Link Disasters To Climate Change",POLITICS,1/31/2018 0:00,-0.999629259
"FBI Deputy Director Andrew McCabe, A Frequent Trump Foil, Is Leaving The Bureau",POLITICS,1/29/2018 0:00,-0.998974085
EPA Chief Under Nixon And Reagan: GOP’s Climate Denial Is 'Killing Everything',POLITICS,1/27/2018 0:00,-0.999432027
Washington State Changes Driver's License Requirements To Foil ICE,POLITICS,1/27/2018 0:00,-0.977553546
"The Mercers, Trump’s Billionaire Megadonors, Ramp Up Climate Change Denial Funding",POLITICS,1/26/2018 0:00,-0.987196326
Trump Names Former Astronaut And Oil Geologist To Lead Key Scientific Agency,POLITICS,1/26/2018 0:00,0.991216421
White House Open To Gas Tax Hike To Pay For Infrastructure Upgrades,POLITICS,1/26/2018 0:00,-0.667993665
"Trump Asks For Van Gogh, Museum Offers Solid Gold Toilet Instead",POLITICS,1/26/2018 0:00,-0.99796474
Jerry Brown Extols California's Bipartisan Commitment To Fighting Climate Change,POLITICS,1/25/2018 0:00,0.992626488
Climate Change: Everyone's Battle,WORLD NEWS,1/23/2018 0:00,-0.967258811
Rescuers In Rebel-Held Syrian Area Accuse Government Of Gas Attack,WORLD NEWS,1/22/2018 0:00,-0.990618646
"Nevertheless, She Persisted: A Year After The First Women's March, Energy Is Still High",POLITICS,1/21/2018 0:00,0.999424934
"Florida Waters Could Still Be Leased For Oil Drilling, Despite Ryan Zinke’s Tweet",POLITICS,1/19/2018 0:00,-0.989959836
Pentagon Drops Climate From National Defense Strategy In Retreat From Bush-Era Policy,POLITICS,1/19/2018 0:00,-0.998338938
GOP Lawmaker Claims ISIS Masterminded Las Vegas Shooting,POLITICS,1/19/2018 0:00,-0.988831639
The Clean Energy Transition Will Transform Our Economy Beyond Recognition,IMPACT,1/18/2018 0:00,0.999064863
"Climate Denial Group Protected Former Executive Charged With Stalking Colleague, Ex-Staffers Say",POLITICS,1/17/2018 0:00,-0.9817155
Stricken Tanker Leaks 8-Mile Long Oil Slick In East China Sea,WORLD NEWS,1/15/2018 0:00,-0.995902121
An 'African Gang Crisis' In Melbourne Is Roiling Australian Politics,WORLD NEWS,1/15/2018 0:00,0.986872673
Norway's Arctic Oil Lawsuit Offers Hope For A New Era Of Climate Litigation,IMPACT,1/13/2018 0:00,-0.517938375
"NYC Sues Big Oil Over Climate Impacts, Plans To Divest $5 Billion From Fossil Fuels",POLITICS,1/10/2018 0:00,-0.988007426
Florida Gov. Rick Scott Has Repeatedly Flip-Flopped On Offshore Oil Drilling,POLITICS,1/10/2018 0:00,-0.99913764
2017 Shatters Records With $306 Billion In Damages From Climate-Linked Disasters,POLITICS,1/8/2018 0:00,-0.99824959
Higher Fuel Prices And Cold Weather Will Squeeze Heating Assistance,POLITICS,1/4/2018 0:00,-0.956018567
Oil Industry Seals Two Arctic Drilling Wins As Fierce East Coast Storm Fuels Climate Fears,POLITICS,1/4/2018 0:00,0.990408421
Trump's 'Fear Of Being Poisoned' Reportedly Fuels His McDonald's Habit,POLITICS,1/3/2018 0:00,-0.989549756
Second Ship Suspected Of Providing Oil To North Korea Seized,WORLD NEWS,12/31/2017 0:00,-0.991090775
Trump Just Used Normal Winter Weather To Undermine The Science Behind Climate Change,POLITICS,12/29/2017 0:00,-0.99869734
South Korea Seizes Ship Suspected Of Transferring Oil To North Korea,WORLD NEWS,12/29/2017 0:00,-0.990624368
Report: Russian Tankers Fueled North Korea,WORLD NEWS,12/29/2017 0:00,-0.98113203
Trump Accuses China Of Allowing Oil Into North Korea,POLITICS,12/28/2017 0:00,-0.99020642
Obama Policies Fueled Our Economic Boom. Don't Let Trump And His Rich Man's Tax Cut Steal The Credit,POLITICS,12/25/2017 0:00,0.980914593
Energy Companies Celebrate White House Slashing Protections For Migratory Birds,POLITICS,12/23/2017 0:00,0.987574756
France To Ban Domestic Production Of Oil And Gas By 2040,WORLD NEWS,12/20/2017 0:00,-0.80175817
Trump Decides Climate Change Is No Longer A National Security Threat,POLITICS,12/18/2017 0:00,0.974024653
Trump To Nix Climate Change As National Security Threat,POLITICS,12/18/2017 0:00,0.820991695
"Climate Change Made Hurricane Harvey Worse, Scientists Say",SCIENCE,12/13/2017 0:00,-0.999598682
Doug Jones' Win Breaks Alabama's Long Record Of Electing Climate Change Deniers,POLITICS,12/13/2017 0:00,0.999091625
50 World Leaders Gather In Paris For Climate Summit. Trump Was Not Invited.,WORLD NEWS,12/12/2017 0:00,-0.997031569
"2 Years After Paris, We Have Work To Do In The Fight Against Climate Change",POLITICS,12/12/2017 0:00,0.998898506
Scott Pruitt's War On Wind Energy Will Only Hurt Oklahomans,POLITICS,12/12/2017 0:00,-0.997360766
"GOP Tax Bill ‘Designed’ To Kneecap Renewable Energy In Favor Of Fossil Fuels, Democrats Say",POLITICS,12/12/2017 0:00,-0.935592651
California Governor Says Trump Is Courting The 'Wrath Of God' By Ignoring Climate Change,POLITICS,12/9/2017 0:00,-0.973881602
British Authorities Reportedly Foil Terror Plot To Assassinate Prime Minister Theresa May,WORLD NEWS,12/6/2017 0:00,0.89119637
Wednesday's Morning Email: Trump's Latest Move Risks Fueling Unrest In Mideast,POLITICS,12/6/2017 0:00,-0.982254684
"After Vegas And Texas Massacres, Republicans Try To Make It Easier To Carry Concealed Guns",POLITICS,12/6/2017 0:00,-0.998754382
Leaked PowerPoint Reveals The Gas Industry’s Playbook For Waging Pipeline Fights,POLITICS,12/5/2017 0:00,-0.996648133
Oil And Gas Firms Got A Last-Minute Goody In Senate Tax Bill,POLITICS,12/5/2017 0:00,0.781408727
Amazon HQ2 In The Time Of Climate Change,BUSINESS,12/4/2017 0:00,0.650962532
"Trump’s NOAA Pick Gets Climate Change, But Could Still Weaken Key Science Agency",POLITICS,11/29/2017 0:00,-0.998041511
"The U.S. Under-Invests In Energy Innovation, Asserts Former Energy Secretary Ernest Moniz",POLITICS,11/28/2017 0:00,-0.974801302
"Corporations Make Big Climate Promises Only To Retreat After A Few Years, Study Finds",POLITICS,11/27/2017 0:00,-0.891799808
A Star Psychiatrist Swerves From Nuclear Armageddon To Climate Change,POLITICS,11/26/2017 0:00,0.984353125
Mother Of Vegas Survivor Pleads With Lawmaker To Change Gun Laws,POLITICS,11/26/2017 0:00,-0.985497415
'These Storms Are Just Crazy': Craft Beer Brewers Feel Effects Of Climate Change,IMPACT,11/21/2017 0:00,0.51089561
Pope Francis Blasts 'Perverse Attitudes' Of Climate Change Deniers,WORLD NEWS,11/17/2017 0:00,-0.98156929
14 More Lawsuits Filed In Aftermath Of Las Vegas Shooting,POLITICS,11/16/2017 0:00,-0.991735995
How The Shipping Industry Bullied Its Way Out Of Doing Anything To Fight Climate Change,POLITICS,11/15/2017 0:00,-0.998637617
Why Make Issue Films In A Politically Rigid Climate?,POLITICS,11/15/2017 0:00,-0.996532559
Fossil Fuel-Touting U.S. Heckled By Singing Demonstrators At UN Climate Summit,WORLD NEWS,11/14/2017 0:00,-0.991640091
Lisa Murkowski Introduces Bill To Open Arctic Wildlife Refuge To Oil Drilling,POLITICS,11/9/2017 0:00,0.996380746
"Syria Vows To Sign Paris Agreement, Leaving U.S. Alone In Climate Denial",POLITICS,11/7/2017 0:00,-0.988279343
The World's Largest Climate Change Summit Starts Today. Here's What's Happening.,WORLD NEWS,11/6/2017 0:00,0.999116719
Trump’s Exit From Anti-Corruption Pact Helps Big Oil Hide How Much It Pays In US Taxes,POLITICS,11/4/2017 0:00,-0.992744446
Texas Democrats Celebrate Lamar Smith's Retirement: 'It's Great News For The Climate',POLITICS,11/3/2017 0:00,0.999786079
Rick Perry Says Fossil Fuels Will Prevent Sexual Assaults In Africa,POLITICS,11/2/2017 0:00,0.869579017
Bump Stock Maker Resumes Sales One Month After Las Vegas Mass Shooting,POLITICS,11/1/2017 0:00,-0.998977661
It’s Been One Month Since The Las Vegas Shooting And Bump Stocks Are Still Legal,POLITICS,10/29/2017 0:00,-0.970213354
Puerto Rico Electric Power Authority Cancels Whitefish Energy Deal,POLITICS,10/29/2017 0:00,-0.997761488
Conservative Think Tank Included Convicted Sex Offender In Climate Expert List For EPA,POLITICS,10/27/2017 0:00,-0.946354449
Energy Company Tied To Major Trump Donor Feuds With San Juan Mayor Over Business Deal,POLITICS,10/25/2017 0:00,0.862432182
Here's A List Of Climate-Change Deniers The EPA May Be Considering For Its ‘Red Team’ Debate,POLITICS,10/25/2017 0:00,-0.993844271
"Memo To EPA Chief Pruitt: Let's End Subsidies For Fossil Fuels, Not Renewables",POLITICS,10/24/2017 0:00,-0.994770825
"Trump Should Tackle Climate If He Wants To Save Billions, Congressional Report Says",POLITICS,10/24/2017 0:00,-0.981537163
U.S. Is Officially The Only Country Besides Syria Not To Support Paris Climate Deal,WORLD NEWS,10/24/2017 0:00,0.988642156
"Big Business Is Moving Too Slowly On Climate Change, Tracking Group Finds",IMPACT,10/23/2017 0:00,-0.999578774
Man Who Turned His Guns In After Las Vegas Should Be A National Story,POLITICS,10/23/2017 0:00,-0.836163998
EPA Abruptly Blocks 3 Agency Scientists From Giving Talks On Climate Change,POLITICS,10/23/2017 0:00,-0.999599278
Roy Moore Is An Outspoken Fundamentalist About Everything But Climate Change,POLITICS,10/23/2017 0:00,0.998355806
These 5 U.S. Towns Are Powered Entirely By Renewable Energy,IMPACT,10/21/2017 0:00,0.998754263
Senate Republicans Block Measure To Protect Arctic Wildlife Refuge From Oil Drilling,POLITICS,10/20/2017 0:00,-0.960733294
Progressives' Anger Over Key Committee Appointments Roils Democratic Party Meeting,POLITICS,10/20/2017 0:00,-0.994220495
Chinese President Xi Jinping's Climate Change Remarks Sure Seem To Be Aimed At Trump,WORLD NEWS,10/18/2017 0:00,-0.987561285
Chicago Is Fighting Climate Change No Matter What Trump Says,IMPACT,10/12/2017 0:00,0.910380304
