,Price (EUR/MWhe)
2019-12-25 00:00:00,-5.4592166
2019-12-25 01:00:00,-1.7969804
2019-12-25 02:00:00,1.1847317
2019-12-25 03:00:00,2.1784902
2019-12-25 04:00:00,2.6533282
2019-12-25 05:00:00,10.406709
2019-12-25 06:00:00,2.9347215
2019-12-25 07:00:00,-2.2435794
2019-12-25 08:00:00,-2.287891
2019-12-25 09:00:00,3.162951
2019-12-25 10:00:00,-2.0407238
2019-12-25 11:00:00,-1.2502202
2019-12-25 12:00:00,0.8778801
2019-12-25 13:00:00,-0.39452165
2019-12-25 14:00:00,7.4947104
2019-12-25 15:00:00,8.010925
2019-12-25 16:00:00,13.127929
2019-12-25 17:00:00,7.487464
2019-12-25 18:00:00,-2.4952972
2019-12-25 19:00:00,-3.755296
2019-12-25 20:00:00,-0.18738149
2019-12-25 21:00:00,-1.7533667
2019-12-25 22:00:00,0.9477303
2019-12-25 23:00:00,4.7516055
2019-12-26 00:00:00,-2.7688031
2019-12-26 01:00:00,-0.7583583
2019-12-26 02:00:00,2.521506
2019-12-26 03:00:00,4.4781117
2019-12-26 04:00:00,7.329543
2019-12-26 05:00:00,7.8709106
2019-12-26 06:00:00,5.673298
2019-12-26 07:00:00,2.7775486
2019-12-26 08:00:00,0.3521621
2019-12-26 09:00:00,4.313296
2019-12-26 10:00:00,4.4086466
2019-12-26 11:00:00,5.5466743
2019-12-26 12:00:00,4.18106
2019-12-26 13:00:00,5.0120783
2019-12-26 14:00:00,10.717078
2019-12-26 15:00:00,8.696913
2019-12-26 16:00:00,11.3888
2019-12-26 17:00:00,10.121368
2019-12-26 18:00:00,-0.9130878
2019-12-26 19:00:00,2.169794
2019-12-26 20:00:00,-0.79366994
2019-12-26 21:00:00,-4.0839453
2019-12-26 22:00:00,2.338592
2019-12-26 23:00:00,4.7035418
2019-12-27 00:00:00,-1.9950893
2019-12-27 01:00:00,-1.7072278
2019-12-27 02:00:00,2.080813
2019-12-27 03:00:00,4.3309946
2019-12-27 04:00:00,1.6595931
2019-12-27 05:00:00,6.176297
2019-12-27 06:00:00,9.320899
2019-12-27 07:00:00,1.7549533
2019-12-27 08:00:00,1.2563854
2019-12-27 09:00:00,5.851116
2019-12-27 10:00:00,6.1257944
2019-12-27 11:00:00,-2.2401726
2019-12-27 12:00:00,2.5483816
2019-12-27 13:00:00,-0.8351729
2019-12-27 14:00:00,7.416274
2019-12-27 15:00:00,8.516644
2019-12-27 16:00:00,11.137249
2019-12-27 17:00:00,7.7397647
2019-12-27 18:00:00,1.0904862
2019-12-27 19:00:00,3.0496562
2019-12-27 20:00:00,1.6471136
2019-12-27 21:00:00,-2.4758763
2019-12-27 22:00:00,1.8451413
2019-12-27 23:00:00,4.364165
2019-12-28 00:00:00,-1.9950893
2019-12-28 01:00:00,-1.7072278
2019-12-28 02:00:00,2.1221912
2019-12-28 03:00:00,5.8847404
2019-12-28 04:00:00,1.0997777
2019-12-28 05:00:00,3.9989455
2019-12-28 06:00:00,4.6780133
2019-12-28 07:00:00,6.504443
2019-12-28 08:00:00,3.871176
2019-12-28 09:00:00,2.4200408
2019-12-28 10:00:00,5.8628597
2019-12-28 11:00:00,4.2949095
2019-12-28 12:00:00,6.0296507
2019-12-28 13:00:00,3.9694684
2019-12-28 14:00:00,8.093678
2019-12-28 15:00:00,10.830768
2019-12-28 16:00:00,15.659999
2019-12-28 17:00:00,14.500674
2019-12-28 18:00:00,3.081032
2019-12-28 19:00:00,0.56825876
2019-12-28 20:00:00,1.6985397
2019-12-28 21:00:00,-2.926262
2019-12-28 22:00:00,3.4970546
2019-12-28 23:00:00,8.313182
2019-12-29 00:00:00,2.9169521
2019-12-29 01:00:00,3.2839437
2019-12-29 02:00:00,8.228437
2019-12-29 03:00:00,9.055499
2019-12-29 04:00:00,9.94556
2019-12-29 05:00:00,12.21123
2019-12-29 06:00:00,14.355632
2019-12-29 07:00:00,5.9748006
2019-12-29 08:00:00,5.1095977
2019-12-29 09:00:00,6.9298034
2019-12-29 10:00:00,2.0703847
2019-12-29 11:00:00,3.7480764
2019-12-29 12:00:00,5.8145056
2019-12-29 13:00:00,4.650857
2019-12-29 14:00:00,7.69181
2019-12-29 15:00:00,9.725957
2019-12-29 16:00:00,13.116721
2019-12-29 17:00:00,13.028058
2019-12-29 18:00:00,4.921335
2019-12-29 19:00:00,0.20768678
2019-12-29 20:00:00,1.3452461
2019-12-29 21:00:00,-0.38379234
2019-12-29 22:00:00,2.09269
2019-12-29 23:00:00,8.720693
2019-12-30 00:00:00,1.1049693
2019-12-30 01:00:00,2.9622135
2019-12-30 02:00:00,15.136289
2019-12-30 03:00:00,16.024662
2019-12-30 04:00:00,17.725424
2019-12-30 05:00:00,13.194565
2019-12-30 06:00:00,10.160063
2019-12-30 07:00:00,7.2118893
2019-12-30 08:00:00,4.3017673
2019-12-30 09:00:00,8.191361
2019-12-30 10:00:00,3.915935
2019-12-30 11:00:00,5.8924847
2019-12-30 12:00:00,5.770844
2019-12-30 13:00:00,6.352796
2019-12-30 14:00:00,9.628821
2019-12-30 15:00:00,13.109572
2019-12-30 16:00:00,14.275744
2019-12-30 17:00:00,10.516051
2019-12-30 18:00:00,3.9380012
2019-12-30 19:00:00,-0.5808011
2019-12-30 20:00:00,0.8248924
2019-12-30 21:00:00,-3.4224892
2019-12-30 22:00:00,1.5786742
2019-12-30 23:00:00,6.8666086
2019-12-31 00:00:00,0.5380237
2019-12-31 01:00:00,0.4555202
2019-12-31 02:00:00,10.899375
2019-12-31 03:00:00,17.875734
2019-12-31 04:00:00,9.683513
2019-12-31 05:00:00,18.473152
2019-12-31 06:00:00,15.144879
2019-12-31 07:00:00,7.5515757
2019-12-31 08:00:00,5.784562
2019-12-31 09:00:00,5.851116
2019-12-31 10:00:00,4.3314004
2019-12-31 11:00:00,-0.8161405
2019-12-31 12:00:00,1.1065193
2019-12-31 13:00:00,3.2581317
2019-12-31 14:00:00,11.155662
2019-12-31 15:00:00,10.884139
2019-12-31 16:00:00,14.166279
2019-12-31 17:00:00,13.223363
2019-12-31 18:00:00,2.7556221
2019-12-31 19:00:00,1.2175329
2019-12-31 20:00:00,2.266602
2019-12-31 21:00:00,-1.6666273
2019-12-31 22:00:00,2.6935475
2019-12-31 23:00:00,8.784455
