headline,category,date,source,sentiment,sentiment_score
Companies Are Making Major Climate Pledges. Here’s What They Really Mean.,impact,2020-10-07 00:00:00,HuffPost,NEGATIVE,0.972555935382843
Is Your Grocery List Sustainable? We Asked Climate Experts How They Shop.,impact,2020-07-01 00:00:00,HuffPost,NEGATIVE,0.9372225999832152
Why The Solutions To Coronavirus And Climate Change Are The Same,impact,2020-04-14 00:00:00,HuffPost,NEGATIVE,0.997738003730774
Social Media Gives Young Climate Activists A Platform – It Also Brings Out The Trolls,impact,2019-11-27 00:00:00,HuffPost,POSITIVE,0.9987640380859376
Climate Change Is Threatening Our Jobs — And Most Companies Are Doing Nothing,impact,2019-11-25 00:00:00,HuffPost,NEGATIVE,0.99972802400589
Italy Is Making Climate Change Lessons Compulsory In Schools,impact,2019-11-06 00:00:00,HuffPost,NEGATIVE,0.7595404982566833
How Fossil Fuel Companies Are Killing Plastic Recycling,impact,2019-09-30 00:00:00,HuffPost,NEGATIVE,0.998377799987793
"From Climate Change To Gun Control, 8 Women Making The World A Better Place",impact,2019-03-08 00:00:00,HuffPost,POSITIVE,0.9923229217529296
CNN Meteorologist Schools Trump On The Meaning Of The Word 'Climate',science,2018-11-23 00:00:00,HuffPost,NEGATIVE,0.5897881984710693
How A Populist Europe In Thrall To Russia Threatens Climate Change Action,impact,2018-06-26 00:00:00,HuffPost,NEGATIVE,0.992160141468048
The Battle To Save Our Dying Soil,impact,2018-05-17 00:00:00,HuffPost,POSITIVE,0.7607371211051941
U.S. Climate Scientists Flee For France To ‘Make Our Planet Great Again’,science,2018-05-03 00:00:00,HuffPost,POSITIVE,0.9800641536712646
The Dangerous Belief That Extreme Technology Will Fix Climate Change,impact,2018-04-27 00:00:00,HuffPost,NEGATIVE,0.986884355545044
Top Banks Pumped Billions More Into The Dirtiest Fossil Fuels Last Year,impact,2018-03-28 00:00:00,HuffPost,NEGATIVE,0.9808406233787536
Kenya Gambles On Dirty Energy With Its First Coal Plant,impact,2018-03-15 00:00:00,HuffPost,NEGATIVE,0.9939600229263306
"Why This California City Is Taking On Chevron, Exxon And Shell Over Climate Change",impact,2018-02-10 00:00:00,HuffPost,NEGATIVE,0.9895336031913756
Already Threatened Polar Bears Face Food Shortage Crisis Amid Climate Change,science,2018-02-02 00:00:00,HuffPost,NEGATIVE,0.991021692752838
The Clean Energy Transition Will Transform Our Economy Beyond Recognition,impact,2018-01-18 00:00:00,HuffPost,POSITIVE,0.9990648627281188
Norway's Arctic Oil Lawsuit Offers Hope For A New Era Of Climate Litigation,impact,2018-01-13 00:00:00,HuffPost,NEGATIVE,0.5179383754730225
"Climate Change Made Hurricane Harvey Worse, Scientists Say",science,2017-12-13 00:00:00,HuffPost,NEGATIVE,0.9995986819267272
'These Storms Are Just Crazy': Craft Beer Brewers Feel Effects Of Climate Change,impact,2017-11-21 00:00:00,HuffPost,POSITIVE,0.5108956098556519
"Big Business Is Moving Too Slowly On Climate Change, Tracking Group Finds",impact,2017-10-23 00:00:00,HuffPost,NEGATIVE,0.9995787739753724
These 5 U.S. Towns Are Powered Entirely By Renewable Energy,impact,2017-10-21 00:00:00,HuffPost,POSITIVE,0.9987542629241944
Chicago Is Fighting Climate Change No Matter What Trump Says,impact,2017-10-12 00:00:00,HuffPost,POSITIVE,0.9103803038597108
The U.S. Is Breaking Clean Energy Records Even As Trump Doubles Down On Fossil Fuels,impact,2017-10-04 00:00:00,HuffPost,POSITIVE,0.9987486600875854
Las Vegas Officials Create GoFundMe Page For Shooting Victims,impact,2017-10-02 00:00:00,HuffPost,NEGATIVE,0.9942420125007628
Neil deGrasse Tyson Destroys Climate Change Deniers' Favorite Argument In 1 Tweet,science,2017-09-11 00:00:00,HuffPost,NEGATIVE,0.9991143345832824
Resurrecting Ancient Wines That Can Survive Climate Change,science,2017-07-24 00:00:00,HuffPost,POSITIVE,0.9985769987106324
"Pride In Mental Health: An Interview With LGBT Activists, Cole Ledford And Dior Vargas",impact,2017-07-14 00:00:00,HuffPost,POSITIVE,0.9926909804344176
Stephen Hawking: Trump's Climate Policies Could Turn Earth Into Venus,science,2017-07-03 00:00:00,HuffPost,NEGATIVE,0.8496477603912354
Most People Don't See How Climate Change Is Affecting Their Lives — And That's A Problem,science,2017-06-29 00:00:00,HuffPost,NEGATIVE,0.9980090260505676
